id	classificacao	nome	combustivel	aspirado_turbina	portas	carroceria	tracao	motor_posicao	entre_eixos	comprimento	largura	altura	peso	motor_tipo	cilindros	motor_tamanho	injecao_tipo	compressao	torque	compressao	hp	rpm_max	consumo_cidade_litros	consumo_estrada_litros	preco
1	3	alfa-romero giulia	gas	std	duas	convertible	traseira	dianteira	2.250	4.288	1.628	1.240	2548	dohc	quatro	130	mpfi	3.47	2.68	9	111	5000	5.548	7.133	67475
2	3	alfa-romero stelvio	gas	std	duas	convertible	traseira	dianteira	2.250	4.288	1.628	1.240	2548	dohc	quatro	130	mpfi	3.47	2.68	9	111	5000	5.548	7.133	82500
3	1	alfa-romero Quadrifoglio	gas	std	duas	hatchback	traseira	dianteira	2.400	4.348	1.664	1.331	2823	ohcv	seis	152	mpfi	2.68	3.47	9	154	5000	5.020	6.869	82500
4	2	audi 100 ls	gas	std	quatro	sedan	dianteira	dianteira	2.535	4.486	1.681	1.379	2337	ohc	quatro	109	mpfi	3.19	3.4	10	102	5500	6.341	7.926	69750
5	2	audi 100ls	gas	std	quatro	sedan	4x4	dianteira	2.525	4.486	1.687	1.379	2824	ohc	cinco	136	mpfi	3.19	3.4	8	115	5500	4.756	5.812	87250
6	2	audi fox	gas	std	duas	sedan	dianteira	dianteira	2.535	4.503	1.684	1.349	2507	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	76250
7	1	audi 100ls	gas	std	quatro	sedan	dianteira	dianteira	2.687	4.895	1.814	1.415	2844	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	88550
8	1	audi 5000	gas	std	quatro	wagon	dianteira	dianteira	2.687	4.895	1.814	1.415	2954	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.605	94600
9	1	audi 4000	gas	turbo	quatro	sedan	dianteira	dianteira	2.687	4.895	1.814	1.420	3086	ohc	cinco	131	mpfi	3.13	3.4	8.3	140	5500	4.491	5.284	119375
10	0	audi 5000s (diesel)	gas	turbo	duas	hatchback	4x4	dianteira	2.527	4.526	1.725	1.321	3053	ohc	cinco	131	mpfi	3.13	3.4	7	160	5500	4.227	5.812	89295
11	2	bmw 320i	gas	std	duas	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2395	ohc	quatro	108	mpfi	3.5	2.8	8.8	101	5800	6.077	7.662	82150
12	0	bmw 320i	gas	std	quatro	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2395	ohc	quatro	108	mpfi	3.5	2.8	8.8	101	5800	6.077	7.662	84625
13	0	bmw x1	gas	std	duas	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2710	ohc	seis	164	mpfi	3.31	3.19	9	121	4250	5.548	7.398	104850
14	0	bmw x3	gas	std	quatro	sedan	traseira	dianteira	2.570	4.491	1.646	1.379	2765	ohc	seis	164	mpfi	3.31	3.19	9	121	4250	5.548	7.398	105525
15	1	bmw z4	gas	std	quatro	sedan	traseira	dianteira	2.629	4.801	1.699	1.415	3055	ohc	seis	164	mpfi	3.31	3.19	9	121	4250	5.284	6.605	122825
16	0	bmw x4	gas	std	quatro	sedan	traseira	dianteira	2.629	4.801	1.699	1.415	3230	ohc	seis	209	mpfi	3.62	3.39	8	182	5400	4.227	5.812	153800
17	0	bmw x5	gas	std	duas	sedan	traseira	dianteira	2.629	4.923	1.725	1.364	3380	ohc	seis	209	mpfi	3.62	3.39	8	182	5400	4.227	5.812	206575
18	0	bmw x3	gas	std	quatro	sedan	traseira	dianteira	2.794	5.004	1.801	1.430	3505	ohc	seis	209	mpfi	3.62	3.39	8	182	5400	3.963	5.284	184400
19	2	chevrolet impala	gas	std	duas	hatchback	dianteira	dianteira	2.245	3.584	1.532	1.351	1488	l	tres	61	2bbl	2.91	3.03	9.5	48	5100	12.417	14.003	25755
20	1	chevrolet monte carlo	gas	std	duas	hatchback	dianteira	dianteira	2.400	3.960	1.615	1.321	1874	ohc	quatro	90	2bbl	3.03	3.11	9.6	70	5400	10.040	11.361	31475
21	0	chevrolet vega 2300	gas	std	quatro	sedan	dianteira	dianteira	2.400	4.034	1.615	1.321	1909	ohc	quatro	90	2bbl	3.03	3.11	9.6	70	5400	10.040	11.361	32875
22	1	dodge rampage	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.995	1.621	1.290	1876	ohc	quatro	90	2bbl	2.97	3.23	9.41	68	5500	9.775	10.832	27860
23	1	dodge challenger se	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.995	1.621	1.290	1876	ohc	quatro	90	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	31885
24	1	dodge d200	gas	turbo	duas	hatchback	dianteira	dianteira	2.380	3.995	1.621	1.290	2128	ohc	quatro	98	mpfi	3.03	3.39	7.6	102	5500	6.341	7.926	39785
25	1	dodge monaco (sw)	gas	std	quatro	hatchback	dianteira	dianteira	2.380	3.995	1.621	1.285	1967	ohc	quatro	90	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	31145
26	1	dodge colt hardtop	gas	std	quatro	sedan	dianteira	dianteira	2.380	3.995	1.621	1.285	1989	ohc	quatro	90	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	33460
27	1	dodge colt (sw)	gas	std	quatro	sedan	dianteira	dianteira	2.380	3.995	1.621	1.285	1989	ohc	quatro	90	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	38045
28	1	dodge coronet custom	gas	turbo	duas	sedan	dianteira	dianteira	2.380	3.995	1.621	1.285	2191	ohc	quatro	98	mpfi	3.03	3.39	7.6	102	5500	6.341	7.926	42790
29	-1	dodge dart custom	gas	std	quatro	wagon	dianteira	dianteira	2.624	4.435	1.641	1.519	2535	ohc	quatro	122	2bbl	3.34	3.46	8.5	88	5000	6.341	7.926	44605
30	3	dodge coronet custom (sw)	gas	turbo	duas	hatchback	dianteira	dianteira	2.436	4.399	1.684	1.275	2811	ohc	quatro	156	mfi	3.6	3.9	7	145	5000	5.020	6.341	64820
31	2	honda civic	gas	std	duas	hatchback	dianteira	dianteira	2.200	3.673	1.623	1.290	1713	ohc	quatro	92	1bbl	2.91	3.41	9.6	58	4800	12.946	14.267	32395
32	2	honda civic cvcc	gas	std	duas	hatchback	dianteira	dianteira	2.200	3.673	1.623	1.290	1819	ohc	quatro	92	1bbl	2.91	3.41	9.2	76	6000	8.190	10.040	34275
33	1	honda civic	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.810	1.626	1.336	1837	ohc	quatro	79	1bbl	2.91	3.07	10.1	60	5500	10.040	11.096	26995
34	1	honda accord cvcc	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.810	1.626	1.336	1940	ohc	quatro	92	1bbl	2.91	3.41	9.2	76	6000	7.926	8.983	32645
35	1	honda civic cvcc	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.810	1.626	1.336	1956	ohc	quatro	92	1bbl	2.91	3.41	9.2	76	6000	7.926	8.983	35645
36	0	honda accord lx	gas	std	quatro	sedan	dianteira	dianteira	2.451	4.150	1.626	1.384	2010	ohc	quatro	92	1bbl	2.91	3.41	9.2	76	6000	7.926	8.983	36475
37	0	honda civic 1500 gl	gas	std	quatro	wagon	dianteira	dianteira	2.451	3.990	1.623	1.481	2024	ohc	quatro	92	1bbl	2.92	3.41	9.2	76	6000	7.926	8.983	36475
38	0	honda accord	gas	std	duas	hatchback	dianteira	dianteira	2.451	4.255	1.656	1.354	2236	ohc	quatro	110	1bbl	3.15	3.58	9	86	5800	7.133	8.719	39475
39	0	honda civic 1300	gas	std	duas	hatchback	dianteira	dianteira	2.451	4.255	1.656	1.354	2289	ohc	quatro	110	1bbl	3.15	3.58	9	86	5800	7.133	8.719	45475
40	0	honda prelude	gas	std	quatro	sedan	dianteira	dianteira	2.451	4.455	1.656	1.374	2304	ohc	quatro	110	1bbl	3.15	3.58	9	86	5800	7.133	8.719	44225
41	0	honda accord	gas	std	quatro	sedan	dianteira	dianteira	2.451	4.455	1.588	1.374	2372	ohc	quatro	110	1bbl	3.15	3.58	9	86	5800	7.133	8.719	51475
42	0	honda civic	gas	std	quatro	sedan	dianteira	dianteira	2.451	4.455	1.656	1.374	2465	ohc	quatro	110	mpfi	3.15	3.58	9	101	5800	6.341	7.398	64725
43	1	honda civic (auto)	gas	std	duas	sedan	dianteira	dianteira	2.451	4.295	1.676	1.295	2293	ohc	quatro	110	2bbl	3.15	3.58	9.1	100	5500	6.605	8.190	51725
44	0	isuzu MU-X	gas	std	quatro	sedan	traseira	dianteira	2.395	4.336	1.570	1.359	2337	ohc	quatro	111	2bbl	3.31	3.23	8.5	78	4800	6.341	7.662	33925
45	1	isuzu D-Max 	gas	std	duas	sedan	dianteira	dianteira	2.400	3.960	1.615	1.321	1874	ohc	quatro	90	2bbl	3.03	3.11	9.6	70	5400	10.040	11.361	445825
46	0	isuzu D-Max V-Cross	gas	std	quatro	sedan	dianteira	dianteira	2.400	3.960	1.615	1.321	1909	ohc	quatro	90	2bbl	3.03	3.11	9.6	70	5400	10.040	11.361	445825
47	2	isuzu D-Max 	gas	std	duas	hatchback	traseira	dianteira	2.438	4.384	1.656	1.306	2734	ohc	quatro	119	spfi	3.43	3.23	9.2	90	5000	6.341	7.662	55240
48	0	jaguar xj	gas	std	quatro	sedan	traseira	dianteira	2.870	5.070	1.768	1.341	4066	dohc	seis	258	mpfi	3.63	4.17	8.1	176	4750	3.963	5.020	161250
49	0	jaguar xf	gas	std	quatro	sedan	traseira	dianteira	2.870	5.070	1.768	1.341	4066	dohc	seis	258	mpfi	3.63	4.17	8.1	176	4750	3.963	5.020	177750
50	0	jaguar xk	gas	std	duas	sedan	traseira	dianteira	2.591	4.869	1.793	1.214	3950	ohcv	doze	326	mpfi	3.54	2.76	11.5	262	5000	3.435	4.491	180000
51	1	maxda rx3	gas	std	duas	hatchback	dianteira	dianteira	2.365	4.041	1.631	1.374	1890	ohc	quatro	91	2bbl	3.03	3.15	9	68	5000	7.926	8.190	25975
52	1	maxda glc deluxe	gas	std	duas	hatchback	dianteira	dianteira	2.365	4.041	1.631	1.374	1900	ohc	quatro	91	2bbl	3.03	3.15	9	68	5000	8.190	10.040	30475
53	1	mazda rx2 coupe	gas	std	duas	hatchback	dianteira	dianteira	2.365	4.041	1.631	1.374	1905	ohc	quatro	91	2bbl	3.03	3.15	9	68	5000	8.190	10.040	33975
54	1	mazda rx-4	gas	std	quatro	sedan	dianteira	dianteira	2.365	4.237	1.631	1.374	1945	ohc	quatro	91	2bbl	3.03	3.15	9	68	5000	8.190	10.040	33475
55	1	mazda glc deluxe	gas	std	quatro	sedan	dianteira	dianteira	2.365	4.237	1.631	1.374	1950	ohc	quatro	91	2bbl	3.08	3.15	9	68	5000	8.190	10.040	36975
56	3	mazda 626	gas	std	duas	hatchback	traseira	dianteira	2.421	4.293	1.669	1.260	2380	rotor	dois	70	4bbl	3.33	3.255	9.4	101	6000	4.491	6.077	54725
57	3	mazda glc	gas	std	duas	hatchback	traseira	dianteira	2.421	4.293	1.669	1.260	2380	rotor	dois	70	4bbl	3.33	3.255	9.4	101	6000	4.491	6.077	59225
58	3	mazda rx-7 gs	gas	std	duas	hatchback	traseira	dianteira	2.421	4.293	1.669	1.260	2385	rotor	dois	70	4bbl	3.33	3.255	9.4	101	6000	4.491	6.077	68225
59	3	mazda glc 4	gas	std	duas	hatchback	traseira	dianteira	2.421	4.293	1.669	1.260	2500	rotor	dois	80	mpfi	3.33	3.255	9.4	135	6000	4.227	6.077	78225
60	1	mazda 626	gas	std	duas	hatchback	dianteira	dianteira	2.510	4.516	1.689	1.364	2385	ohc	quatro	122	2bbl	3.39	3.39	8.6	84	4800	6.869	8.454	44225
61	0	mazda glc custom l	gas	std	quatro	sedan	dianteira	dianteira	2.510	4.516	1.689	1.410	2410	ohc	quatro	122	2bbl	3.39	3.39	8.6	84	4800	6.869	8.454	42475
62	1	mazda glc custom	gas	std	duas	hatchback	dianteira	dianteira	2.510	4.516	1.689	1.364	2385	ohc	quatro	122	2bbl	3.39	3.39	8.6	84	4800	6.869	8.454	52975
63	0	mazda rx-4	gas	std	quatro	sedan	dianteira	dianteira	2.510	4.516	1.689	1.410	2410	ohc	quatro	122	2bbl	3.39	3.39	8.6	84	4800	6.869	8.454	51225
64	0	mazda glc deluxe	diesel	std	quatro	sedan	dianteira	dianteira	2.510	4.516	1.689	1.410	2443	ohc	quatro	122	idi	3.39	3.39	22.7	64	4650	9.511	11.096	53975
65	0	mazda 626	gas	std	quatro	hatchback	dianteira	dianteira	2.510	4.516	1.689	1.410	2425	ohc	quatro	122	2bbl	3.39	3.39	8.6	84	4800	6.869	8.454	56225
66	0	mazda glc	gas	std	quatro	sedan	traseira	dianteira	2.664	4.445	1.679	1.382	2670	ohc	quatro	140	mpfi	3.76	3.16	8	120	5000	5.020	7.133	91400
67	0	mazda rx-7 gs	diesel	std	quatro	sedan	traseira	dianteira	2.664	4.445	1.679	1.382	2700	ohc	quatro	134	idi	3.43	3.64	22	72	4200	8.190	10.304	91720
68	-1	buick electra 225 custom	diesel	turbo	quatro	sedan	traseira	dianteira	2.794	4.849	1.786	1.435	3515	ohc	cinco	183	idi	3.58	3.64	21.5	123	4350	5.812	6.605	127760
69	-1	buick century luxus (sw)	diesel	turbo	quatro	wagon	traseira	dianteira	2.794	4.849	1.786	1.491	3750	ohc	cinco	183	idi	3.58	3.64	21.5	123	4350	5.812	6.605	141240
70	0	buick century	diesel	turbo	duas	hardtop	traseira	dianteira	2.710	4.763	1.786	1.394	3495	ohc	cinco	183	idi	3.58	3.64	21.5	123	4350	5.812	6.605	140880
71	-1	buick skyhawk	diesel	turbo	quatro	sedan	traseira	dianteira	2.936	5.146	1.821	1.430	3770	ohc	cinco	183	idi	3.58	3.64	21.5	123	4350	5.812	6.605	158000
72	-1	buick opel isuzu deluxe	gas	std	quatro	sedan	traseira	dianteira	2.936	5.146	1.821	1.435	3740	ohcv	oito	234	mpfi	3.46	3.1	8.3	155	4750	4.227	4.756	170920
73	3	buick skylark	gas	std	duas	convertible	traseira	dianteira	2.454	4.580	1.791	1.290	3685	ohcv	oito	234	mpfi	3.46	3.1	8.3	155	4750	4.227	4.756	175280
74	0	buick century special	gas	std	quatro	sedan	traseira	dianteira	3.071	5.286	1.821	1.440	3900	ohcv	oito	308	mpfi	3.8	3.35	8	184	4500	3.699	4.227	204800
75	1	buick regal sport coupe (turbo)	gas	std	duas	hardtop	traseira	dianteira	2.845	5.060	1.829	1.407	3715	ohcv	oito	304	mpfi	3.8	3.35	8	184	4500	3.699	4.227	227000
76	1	mercury cougar	gas	turbo	duas	hatchback	traseira	dianteira	2.609	4.531	1.727	1.392	2910	ohc	quatro	140	mpfi	3.78	3.12	8	175	5000	5.020	6.341	82515
77	2	mitsubishi mirage	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.995	1.636	1.290	1918	ohc	quatro	92	2bbl	2.97	3.23	9.4	68	5500	9.775	10.832	26945
78	2	mitsubishi lancer	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.995	1.636	1.290	1944	ohc	quatro	92	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	30945
79	2	mitsubishi outlander	gas	std	duas	hatchback	dianteira	dianteira	2.380	3.995	1.636	1.290	2004	ohc	quatro	92	2bbl	2.97	3.23	9.4	68	5500	8.190	10.040	33345
80	1	mitsubishi g4	gas	turbo	duas	hatchback	dianteira	dianteira	2.362	3.995	1.621	1.290	2145	ohc	quatro	98	spdi	3.03	3.39	7.6	102	5500	6.341	7.926	38445
81	3	mitsubishi mirage g4	gas	turbo	duas	hatchback	dianteira	dianteira	2.446	4.394	1.661	1.255	2370	ohc	quatro	110	spdi	3.17	3.46	7.5	116	5500	6.077	7.926	49795
82	3	mitsubishi g4	gas	std	duas	hatchback	dianteira	dianteira	2.446	4.394	1.661	1.255	2328	ohc	quatro	122	2bbl	3.35	3.46	8.5	88	5000	6.605	8.454	42495
83	3	mitsubishi outlander	gas	turbo	duas	hatchback	dianteira	dianteira	2.436	4.399	1.684	1.275	2833	ohc	quatro	156	spdi	3.58	3.86	7	145	5000	5.020	6.341	63145
84	3	mitsubishi g4	gas	turbo	duas	hatchback	dianteira	dianteira	2.436	4.399	1.684	1.275	2921	ohc	quatro	156	spdi	3.59	3.86	7	145	5000	5.020	6.341	74345
85	3	mitsubishi mirage g4	gas	turbo	duas	hatchback	dianteira	dianteira	2.436	4.399	1.684	1.275	2926	ohc	quatro	156	spdi	3.59	3.86	7	145	5000	5.020	6.341	72445
86	1	mitsubishi montero	gas	std	quatro	sedan	dianteira	dianteira	2.446	4.379	1.661	1.311	2365	ohc	quatro	122	2bbl	3.35	3.46	8.5	88	5000	6.605	8.454	34945
87	1	mitsubishi pajero	gas	std	quatro	sedan	dianteira	dianteira	2.446	4.379	1.661	1.311	2405	ohc	quatro	122	2bbl	3.35	3.46	8.5	88	5000	6.605	8.454	40945
88	1	mitsubishi outlander	gas	turbo	quatro	sedan	dianteira	dianteira	2.446	4.379	1.661	1.311	2403	ohc	quatro	110	spdi	3.17	3.46	7.5	116	5500	6.077	7.926	46395
89	-1	mitsubishi mirage g4	gas	std	quatro	sedan	dianteira	dianteira	2.446	4.379	1.661	1.311	2403	ohc	quatro	110	spdi	3.17	3.46	7.5	116	5500	6.077	7.926	46395
90	1	Nissan versa	gas	std	duas	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	1889	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	27495
91	1	nissan gt-r	diesel	std	duas	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	2017	ohc	quatro	103	idi	2.99	3.47	21.9	55	4800	11.889	13.210	35495
92	1	nissan rogue	gas	std	duas	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	1918	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	33245
93	1	nissan latio	gas	std	quatro	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	1938	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	34245
94	1	nissan titan	gas	std	quatro	wagon	dianteira	dianteira	2.400	4.323	1.621	1.359	2024	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	36745
95	1	nissan leaf	gas	std	duas	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	1951	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	36495
96	1	nissan juke	gas	std	duas	hatchback	dianteira	dianteira	2.400	4.206	1.621	1.354	2028	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	38995
97	1	nissan latio	gas	std	quatro	sedan	dianteira	dianteira	2.400	4.199	1.621	1.384	1971	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	37495
98	1	nissan note	gas	std	quatro	wagon	dianteira	dianteira	2.400	4.323	1.621	1.359	2037	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	39995
99	2	nissan clipper	gas	std	duas	hardtop	dianteira	dianteira	2.416	4.125	1.621	1.354	2008	ohc	quatro	97	2bbl	3.15	3.29	9.4	69	5200	8.190	9.775	41245
100	0	nissan rogue	gas	std	quatro	hatchback	dianteira	dianteira	2.469	4.404	1.656	1.389	2324	ohc	quatro	120	2bbl	3.33	3.47	8.5	97	5200	7.133	8.983	44745
101	0	nissan nv200	gas	std	quatro	sedan	dianteira	dianteira	2.469	4.404	1.656	1.389	2302	ohc	quatro	120	2bbl	3.33	3.47	8.5	97	5200	7.133	8.983	47745
